city,state,fips_code_city,speed
bella-vista,ar,0504840,25
bentonville,ar,0505320,25
conway,ar,0515190,20
fayetteville,ar,0523290,20
rogers,ar,0560410,25
siloam-springs,ar,0564370,30
springdale,ar,0566080,20
flagstaff,az,0423620,25
nogales,az,0449640,25
fremont,ca,0626000,25
lompoc,ca,0642524,25
oakland,ca,0653000,25
paso-robles,ca,0622300,25
pismo-beach,ca,0657414,25
sacramento,ca,0664000,25
san-diego,ca,0666000,25
san-francisco,ca,0667000,25
san-jose,ca,0668000,25
san-luis-obispo,ca,0668154,25
santa-barbara,ca,0669070,25
santa-clarita,ca,0669088,25
santa-monica,ca,0670000,25
sonora,ca,0672674,25
temecula,ca,0678120,25
aspen,co,0803620,20
aurora,co,0804000,25
boulder,co,0807850,20
broomfield,co,0809280,25
colorado-springs,co,0816000,25
denver,co,0820000,20
estes-park,co,0825115,25
fort-collins,co,0827425,25
golden,co,0830835,20
lakewood,co,0843000,30
littleton,co,0845255,30
longmont,co,0845970,25
louisville,co,0846355,25
loveland,co,0846465,25
manitou-springs,co,0848445,25
montrose,co,0851745,25
salida,co,0867280,25
thornton,co,0877290,25
norwalk,ct,0955990,25
fort-lauderdale,fl,1224000,35
gainesville,fl,1225175,30
key-west,fl,1236550,20
miami,fl,1245000,25
miami-beach,fl,1245025,25
orlando,fl,1253000,25
tampa,fl,1271000,25
the-villages,fl,1271625,20
atlanta,ga,1304000,25
brookhaven,ga,1310944,25
carrollton,ga,1313492,35
hapeville,ga,1336472,25
peachtree-city,ga,1359724,30
savannah,ga,1369000,25
senoia,ga,1369672,25
tyrone,ga,1378044,30
cedar-falls,ia,1911755,25
davenport,ia,1919000,25
des-moines,ia,1921000,25
coeur-dalene,id,1616750,25
hailey,id,1634390,20
ketchum,id,1643030,20
aurora,il,1703012,25
batavia,il,1704078,30
chicago,il,1714000,30
evanston,il,1724582,25
galena,il,1728300,25
highland-park,il,1734722,25
hoffman-estates,il,1735411,25
lebanon,il,1742496,25
mount prospect,il,1751089,25
mundelein,il,1751349,25
palatine,il,1757225,30
rockford,il,1765000,30
urbana,il,1777005,30
bloomington,in,1805860,25
carmel,in,1810342,30
fishers,in,1823278,30
indianapolis,in,1836003,30
la-porte,in,1842246,30
santa-claus,in,1868022,25
lawrence,ks,2038900,25
lenexa,ks,2039350,25
overland-park,ks,2053775,25
wichita,ks,2079000,30
bowling-green,ky,2108902,25
lexington,ky,2146027,25
new-orleans,la,2255000,25
abington,ma,2500135,25
acton,ma,2500380,25
amesbury-town,ma,2501185,25
amherst,ma,2501370,25
andover,ma,2501430,25
arlington,ma,2501640,25
ayer,ma,2503040,25
bedford,ma,2504615,25
belmont,ma,2505105,25
boston,ma,2507000,25
braintree,ma,2507740,25
brookline,ma,2509210,25
cambridge,ma,2511000,25
dedham,ma,2516530,25
everett,ma,2521990,25
framingham,ma,2524960,25
greenfield,ma,2527060,25
lexington,ma,2535250,25
lowell,ma,2537000,25
lynn,ma,2537490,25
lynnfield,ma,2537595,25
malden,ma,2537875,25
marblehead,ma,2538435,25
mattapoisett,ma,2539485,25
medford,ma,2539835,25
melrose,ma,2540115,25
nantucket,ma,2543755,25
newburyport,ma,2545245,25
newton,ma,2545560,25
northampton,ma,2546330,25
oak bluffs,ma,2550425,25
pittsfield,ma,2553960,25
provincetown,ma,2555535,20
revere,ma,2556585,25
salem,ma,2559105,25
somerville,ma,2562535,25
southbridge,ma,2563345,25
springfield,ma,2567000,25
stoneham,ma,2567700,25
sudbury,ma,2568260,25
swampscott,ma,2568680,25
waltham,ma,2572600,25
wareham,ma,2573020,25
westfield,ma,2576030,25
worcester,ma,2582000,25
bethesda,md,2407125,25
columbia,md,2419125,25
salisbury,md,2469925,25
portland,me,2360545,25
ann-arbor,mi,2603000,25
detroit,mi,2622000,25
southfield,mi,2674900,25
minneapolis,mn,2743000,20
rochester,mn,2754880,25
st-louis-park,mn,2757220,20
st-paul,mn,2758000,20
joplin,mo,2937592,25
springfield,mo,2970000,25
oxford,ms,2854840,30
missoula,mt,3050200,25
cary,nc,3710740,25
charlotte,nc,3712000,25
durham,nc,3719000,35
greensboro,nc,3728000,35
raleigh,nc,3755000,35
lincoln,ne,3128000,25
lebanon,nh,3341300,25
nashua,nh,3350260,30
jersey-city,nj,3436000,25
north-wildwood,nj,3453490,15
albuquerque,nm,3502000,25
santa-fe,nm,3570500,25
henderson,nv,3231900,25
albany,ny,3601000,25
buffalo,ny,3611000,30
hudson,ny,3635969,25
kingston,ny,3639727,25
new-york,ny,3651000,25
scarsdale,ny,3665431,25
akron,oh,3901000,25
cleveland,oh,3916000,25
columbus,oh,3918000,25
kettering,oh,3940040,25
vandalia,oh,3979492,25
bend,or,4105800,25
eugene,or,4123850,20
portland,or,4159000,20
tigard,or,4173650,25
harrisburg,pa,4232800,25
philadelphia,pa,4260000,25
columbia,sc,4516000,30
rapid-city,sd,4652980,25
sioux-falls,sd,4659020,25
sturgis,sd,4662100,25
chattanooga,tn,4714000,25
knoxville,tn,4740000,25
memphis,tn,4748000,25
nashville,tn,4752006,25
austin,tx,4805000,25
dallas,tx,4819000,30
flower-mound,tx,4826232,25
houston,tx,4835000,30
san-elizario,tx,4865360,30
provo,ut,4962470,25
salt-lake-city,ut,4967000,20
blacksburg,va,5107784,25
falls-church,va,5127200,20
manassas,va,5148952,25
norfolk,va,5157000,25
roanoke,va,5168000,25
burlington,vt,5010675,25
bainbridge-island,wa,5303736,20
bellingham,wa,5305280,25
seattle,wa,5363000,20
tacoma,wa,5370000,20
fitchburg,wi,5525950,25
madison,wi,5548000,20
milwaukee,wi,5553000,25
morgantown,wv,5455756,25
gillette,wy,5631855,25
jackson,wy,5640120,25
brighton,ny,3608257,25
bronxville,ny,3608532,25
croton-on-hudson,ny,3619213,25
east-greenbush,ny,3622106,25
lewiston,ny,3642147,25
mamaroneck,ny,3644831,25
millbrook,ny,3647273,25
schenectady,ny,3665508,25
tarrytown,ny,3673176,25
tivoli,ny,3674023,25
white-plains,ny,3681677,25
cohoes,ny,3616749,25
northville,ny,3653770,25
scotia,ny,3665893,25
ithaca,ny,3638077,25
briarcliff-manor,ny,3608103,25
greenport,ny,3630576,25
new-paltz,ny,3650551,25
brookfield,il,1708576,25
rogers,ar,0560410,20
lake-oswego,or,4140550,20
hoboken,nj,3432250,20
